日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD
2025/7/24,8:35:33,21.94,22.3,22.76,25.39,25.32,25.07,26.03
2025/7/24,8:35:35,21.94,22.32,22.78,25.42,25.35,25.07,26.03
2025/7/24,8:35:37,21.92,22.32,22.78,25.44,25.37,25.07,26.04
2025/7/24,8:35:39,21.94,22.32,22.78,25.48,25.37,25.07,26.04
2025/7/24,8:35:41,21.92,22.3,22.78,25.48,25.39,25.07,26.04
2025/7/24,8:35:43,21.92,22.32,22.78,25.48,25.39,25.07,26.04
2025/7/24,8:35:45,21.92,22.32,22.78,25.48,25.39,25.07,26.04
2025/7/24,8:35:47,21.94,22.32,22.8,25.44,25.39,25.05,26.04
2025/7/24,8:35:49,21.94,22.32,22.8,25.46,25.42,25.08,26.05
2025/7/24,8:35:51,21.96,22.35,22.8,25.42,25.44,25.07,26.05
2025/7/24,8:35:53,21.94,22.35,22.8,25.44,25.44,25.08,26.05
2025/7/24,8:35:55,21.94,22.33,22.8,25.48,25.46,25.1,26.05
2025/7/24,8:35:57,21.94,22.32,22.8,25.48,25.46,25.07,26.05
2025/7/24,8:35:59,21.96,22.33,22.82,25.48,25.46,25.08,26.05
2025/7/24,8:36:01,21.96,22.37,22.92,25.46,25.48,25.08,26.05
2025/7/24,8:36:03,22,22.39,23.16,25.46,25.5,25.07,26.06
2025/7/24,8:36:05,22.07,22.44,23.33,25.46,25.5,25.08,26.06
2025/7/24,8:36:07,22.14,22.55,23.62,25.48,25.51,25.07,26.06
2025/7/24,8:36:09,22.21,22.66,23.96,25.46,25.51,25.08,26.06
2025/7/24,8:36:11,22.37,22.78,24.26,25.51,25.53,25.1,26.07
2025/7/24,8:36:13,22.5,23.03,24.73,25.51,25.55,25.08,26.07
2025/7/24,8:36:15,22.82,23.37,25.26,25.53,25.53,25.05,26.07
2025/7/24,8:36:17,23.32,23.85,25.69,25.48,25.55,25.05,26.07
2025/7/24,8:36:19,23.75,24.3,26.46,25.46,25.55,25.03,26.08
2025/7/24,8:36:21,24.62,25.14,27.46,25.5,25.57,25.03,26.08
2025/7/24,8:36:23,25.8,26.23,28.19,25.48,25.57,24.98,26.08
2025/7/24,8:36:25,26.87,27.14,29.46,25.44,25.55,24.98,26.08
2025/7/24,8:36:27,28.94,28.76,31.05,25.44,25.57,24.96,26.08
2025/7/24,8:36:29,31.71,30.76,32.28,25.44,25.58,24.94,26.08
2025/7/24,8:36:31,33.99,32.25,34.39,25.48,25.58,24.92,26.08
2025/7/24,8:36:33,37.88,34.85,36.79,25.6,25.57,24.92,26.08
2025/7/24,8:36:35,42.4,37.77,38.6,25.67,25.57,24.92,26.08
2025/7/24,8:36:37,45.74,39.95,41.56,25.71,25.58,24.94,26.09
2025/7/24,8:36:39,51.07,43.67,44.71,25.64,25.6,24.92,26.09
2025/7/24,8:36:41,56.82,47.92,46.85,25.51,25.62,24.92,26.09
2025/7/24,8:36:43,62.85,51.03,49.92,25.51,25.62,24.91,26.09
2025/7/24,8:36:45,67.09,56.02,52.89,25.44,25.62,24.89,26.09
2025/7/24,8:36:47,73.87,61.53,55.84,25.44,25.62,24.91,26.09
2025/7/24,8:36:49,81.5,65.65,57.72,25.44,25.64,24.92,26.1
2025/7/24,8:36:51,86.78,73.09,60.24,25.42,25.64,24.92,26.1
2025/7/24,8:36:53,94.59,83.71,62.06,25.46,25.64,24.94,26.1
2025/7/24,8:36:55,101.59,89.98,63.21,25.44,25.64,24.94,26.1
2025/7/24,8:36:57,105.37,97.15,65.62,25.42,25.66,24.94,26.1
2025/7/24,8:36:59,109.71,102.26,68.64,25.42,25.64,24.98,26.1
2025/7/24,8:37:01,116.43,104.42,70.45,25.46,25.64,24.98,26.1
2025/7/24,8:37:03,123.06,105.76,73.23,25.48,25.64,25.03,26.1
2025/7/24,8:37:05,133.91,104.26,76.2,25.48,25.64,25.07,26.1
2025/7/24,8:37:07,144.83,101.4,78.37,25.51,25.66,25.12,26.1
2025/7/24,8:37:09,152.03,101.26,81.78,25.51,25.64,25.16,26.11
2025/7/24,8:37:11,162.63,105.79,85.15,25.51,25.64,25.21,26.11
2025/7/24,8:37:13,172.9,111.15,87.34,25.53,25.66,25.28,26.11
2025/7/24,8:37:15,179.63,114.81,90.31,25.57,25.64,25.35,26.11
2025/7/24,8:37:17,189.52,120.34,92.21,25.55,25.64,25.41,26.11
2025/7/24,8:37:19,199.06,125.68,93.03,25.57,25.64,25.51,26.11
2025/7/24,8:37:21,205.28,129.12,94.4,25.55,25.66,25.62,26.11
2025/7/24,8:37:23,214.31,134.21,95.7,25.57,25.64,25.71,26.11
2025/7/24,8:37:25,223.08,139.16,96.62,25.6,25.66,25.87,26.12
2025/7/24,8:37:27,228.78,142.4,98.09,25.58,25.67,26.03,26.12
2025/7/24,8:37:29,236.8,147.16,99.7,25.66,25.67,26.14,26.13
2025/7/24,8:37:31,244.31,151.74,100.79,25.66,25.67,26.35,26.13
2025/7/24,8:37:33,249,154.68,102.51,25.62,25.67,26.57,26.13
2025/7/24,8:37:35,255.71,158.91,104.2,25.64,25.69,26.75,26.14
2025/7/24,8:37:37,261.98,162.99,105.9,25.64,25.69,26.98,26.14
2025/7/24,8:37:39,267.89,165.55,107.03,25.64,25.67,27.26,26.14
2025/7/24,8:37:41,271.66,169.27,108.65,25.67,25.69,27.44,26.14
2025/7/24,8:37:43,276.97,172.86,110.26,25.67,25.69,27.73,26.14
2025/7/24,8:37:45,282.01,175.12,111.34,25.67,25.69,28,26.14
2025/7/24,8:37:47,285.23,178.41,112.92,25.66,25.69,28.21,26.14
2025/7/24,8:37:49,289.77,181.59,114.53,25.64,25.69,28.5,26.15
2025/7/24,8:37:51,294.08,183.65,115.56,25.64,25.71,28.78,26.15
2025/7/24,8:37:53,296.83,186.65,117.15,26.03,25.66,28.96,26.15
2025/7/24,8:37:55,300.8,189.55,118.73,25.96,25.71,29.25,26.15
2025/7/24,8:37:57,304.55,192.4,119.81,25.87,25.76,29.53,26.15
2025/7/24,8:37:59,306.99,194.28,121.48,25.96,25.8,29.85,26.15
2025/7/24,8:38:01,310.63,196.96,123.06,26.01,25.83,30.05,26.15
2025/7/24,8:38:03,314,199.53,124.09,26.1,25.92,30.39,26.16
2025/7/24,8:38:05,316.25,201.18,125.56,35.02,25.96,30.6,26.16
2025/7/24,8:38:07,319.73,203.68,127.06,47.34,26.01,30.92,26.17
2025/7/24,8:38:09,322.08,205.3,128,69.31,26.07,31.23,26.17
2025/7/24,8:38:11,325.45,207.62,129.31,116.6,26.1,31.42,26.17
