日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD
2025/7/24,18:37:31,26.62,26.42,26.67,25.21,25.12,24.42,25.35
2025/7/24,18:37:33,26.62,26.42,26.67,25.21,25.17,24.37,25.35
2025/7/24,18:37:35,26.6,26.41,26.67,25.19,25.14,24.37,25.35
2025/7/24,18:37:37,26.6,26.42,26.66,25.19,25.12,24.33,25.35
2025/7/24,18:37:39,26.62,26.39,26.66,25.19,25.14,24.35,25.35
2025/7/24,18:37:41,26.6,26.41,26.66,25.17,25.14,24.32,25.35
2025/7/24,18:37:43,26.58,26.41,26.64,25.17,25.12,24.37,25.35
2025/7/24,18:37:45,26.57,26.41,26.64,25.14,25.12,24.41,25.35
2025/7/24,18:37:47,26.58,26.39,26.64,25.16,25.1,24.41,25.35
2025/7/24,18:37:49,26.58,26.39,26.64,25.16,25.12,24.39,25.35
2025/7/24,18:37:51,26.6,26.39,26.62,25.12,25.1,24.37,25.35
2025/7/24,18:37:53,26.57,26.37,26.6,25.12,25.1,24.41,25.35
2025/7/24,18:37:55,26.57,26.37,26.6,25.12,25.08,24.37,25.35
2025/7/24,18:37:57,26.57,26.37,26.6,25.12,25.07,24.39,25.35
2025/7/24,18:37:59,26.57,26.35,26.6,25.12,25.07,24.41,25.35
2025/7/24,18:38:01,26.57,26.35,26.6,25.1,25.07,24.44,25.36
2025/7/24,18:38:03,26.57,26.35,26.6,25.07,25.05,24.44,25.36
2025/7/24,18:38:05,26.55,26.33,26.57,25.07,25.05,24.48,25.35
2025/7/24,18:38:07,26.53,26.33,26.58,25.07,25.05,24.5,25.35
2025/7/24,18:38:09,26.53,26.35,26.57,25.07,25.05,24.48,25.35
2025/7/24,18:38:11,26.53,26.32,26.57,25.05,25.03,24.5,25.35
2025/7/24,18:38:13,26.53,26.3,26.57,25.05,25.03,24.51,25.35
2025/7/24,18:38:15,26.51,26.32,26.57,25.05,25.03,24.51,25.35
2025/7/24,18:38:17,26.51,26.32,26.55,25.03,25.03,24.53,25.35
2025/7/24,18:38:19,26.53,26.32,26.55,25.03,25.01,24.51,25.35
2025/7/24,18:38:21,26.51,26.32,26.53,25.03,25.01,24.51,25.35
2025/7/24,18:38:23,26.51,26.32,26.55,25.01,25.01,24.51,25.35
2025/7/24,18:38:25,26.53,26.32,26.53,25.01,25.01,24.51,25.35
2025/7/24,18:38:27,26.53,26.32,26.53,25.01,24.98,24.53,25.35
2025/7/24,18:38:29,26.51,26.3,26.55,25.01,24.98,24.53,25.35
2025/7/24,18:38:31,26.51,26.32,26.53,25.01,25.01,24.55,25.35
2025/7/24,18:38:33,26.51,26.32,26.53,25.01,25,24.53,25.35
2025/7/24,18:38:35,26.51,26.3,26.51,25,24.98,24.55,25.35
