日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD
2025/7/25,8:36:32,29.35,30.07,24.64,23.85,24.53,24.5,25.57
2025/7/25,8:36:34,29.35,30.1,24.64,24.53,24.53,24.48,25.57
2025/7/25,8:36:36,29.35,30.19,24.62,24.35,24.57,24.51,25.57
2025/7/25,8:36:38,29.35,30.26,24.73,24.32,24.57,24.55,25.57
2025/7/25,8:36:40,29.35,30.3,24.89,24.32,24.58,24.57,25.57
2025/7/25,8:36:42,29.35,30.32,24.96,24.25,24.6,24.53,25.57
2025/7/25,8:36:44,29.33,30.32,25,24.28,24.62,24.57,25.57
2025/7/25,8:36:46,29.32,30.3,25.03,24.3,24.64,24.62,25.57
2025/7/25,8:36:48,29.33,30.32,25.1,24.28,24.67,24.64,25.57
2025/7/25,8:36:50,29.32,30.3,25.14,24.28,24.66,24.66,25.57
2025/7/25,8:36:52,29.33,30.28,25.16,24.3,24.67,24.67,25.57
2025/7/25,8:36:54,29.32,30.28,25.19,24.32,24.69,24.66,25.57
2025/7/25,8:36:56,29.32,30.26,25.16,24.37,24.71,24.66,25.57
2025/7/25,8:36:58,29.32,30.23,25.17,24.39,24.71,24.67,25.57
2025/7/25,8:37:00,29.28,30.19,25.19,24.42,24.71,24.64,25.56
2025/7/25,8:37:02,29.3,30.17,25.23,24.46,24.73,24.67,25.56
2025/7/25,8:37:04,29.3,30.19,25.26,24.5,24.76,24.69,25.57
2025/7/25,8:37:06,29.3,30.16,25.3,24.55,24.76,24.71,25.57
2025/7/25,8:37:08,29.28,30.12,25.3,24.57,24.76,24.71,25.57
2025/7/25,8:37:10,29.26,30.12,25.32,24.6,24.8,24.73,25.57
2025/7/25,8:37:12,29.26,30.08,25.33,24.64,24.8,24.73,25.57
2025/7/25,8:37:14,29.28,30.07,25.39,24.67,24.83,24.73,25.57
2025/7/25,8:37:16,29.26,30.07,26.8,24.73,24.85,24.71,25.57
2025/7/25,8:37:18,29.26,30.07,27.03,24.78,24.87,24.73,25.57
2025/7/25,8:37:20,29.26,30.05,27.96,24.82,24.89,24.73,25.57
2025/7/25,8:37:22,29.28,30.05,28.48,24.85,24.89,24.75,25.57
2025/7/25,8:37:24,29.26,30.05,28.69,24.87,24.91,24.75,25.57
2025/7/25,8:37:26,29.28,30.05,29.17,24.85,24.92,24.78,25.57
2025/7/25,8:37:28,29.28,30.05,29.33,24.82,24.92,24.76,25.57
2025/7/25,8:37:30,29.28,30.05,29.42,24.85,24.96,24.76,25.57
2025/7/25,8:37:32,29.3,30.05,29.57,24.83,24.96,24.76,25.58
2025/7/25,8:37:34,29.28,30.05,29.69,24.85,25,24.78,25.57
2025/7/25,8:37:36,29.28,30.05,29.73,24.87,25,24.78,25.58
2025/7/25,8:37:38,29.3,30.05,29.8,24.89,25.01,24.78,25.58
2025/7/25,8:37:40,29.28,30.03,29.82,24.87,25.01,24.78,25.58
2025/7/25,8:37:42,29.28,30.03,29.8,24.89,25.05,24.76,25.58
2025/7/25,8:37:44,29.28,30.05,29.8,24.87,25.07,24.78,25.58
2025/7/25,8:37:46,29.28,30.05,29.82,25.05,25.07,24.78,25.58
2025/7/25,8:37:48,29.3,30.05,29.8,25.35,25.08,24.78,25.58
2025/7/25,8:37:50,29.28,30.05,29.8,25.3,25.1,24.8,25.58
2025/7/25,8:37:52,29.26,30.1,29.78,25.17,25.12,24.8,25.58
2025/7/25,8:37:54,29.28,30.17,29.78,25.25,25.14,24.82,25.59
2025/7/25,8:37:56,29.23,30.19,29.78,28.16,25.14,24.82,25.59
2025/7/25,8:37:58,29.21,30.21,29.76,28.87,25.16,24.82,25.59
2025/7/25,8:38:00,29.23,30.25,29.75,28.1,25.17,24.82,25.59
2025/7/25,8:38:02,29.23,30.25,29.71,27.92,25.17,24.83,25.59
2025/7/25,8:38:04,29.23,30.28,29.73,28.07,25.21,24.85,25.6
2025/7/25,8:38:06,29.21,30.3,29.73,27.64,25.19,24.87,25.6
2025/7/25,8:38:08,29.19,30.28,29.73,28.21,25.21,24.87,25.6
2025/7/25,8:38:10,29.17,30.28,29.71,28.35,25.23,24.87,25.6
2025/7/25,8:38:12,29.21,30.3,29.71,28.25,25.23,24.89,25.6
2025/7/25,8:38:14,29.25,30.3,29.69,28.23,25.23,24.89,25.61
2025/7/25,8:38:16,29.25,30.3,29.69,28.3,25.25,24.87,25.61
2025/7/25,8:38:18,29.26,30.3,29.69,28.32,25.25,24.89,25.61
2025/7/25,8:38:20,29.3,30.32,29.71,28.33,25.26,24.91,25.62
2025/7/25,8:38:22,29.3,30.3,29.71,28.33,25.32,24.91,25.62
2025/7/25,8:38:24,29.33,30.33,29.69,28.32,25.32,24.92,25.62
2025/7/25,8:38:26,29.35,30.32,29.69,28.3,25.48,24.91,25.62
2025/7/25,8:38:28,29.35,30.32,29.69,28.32,26.19,24.91,25.62
2025/7/25,8:38:30,29.37,30.32,29.67,28.3,26.39,24.91,25.62
2025/7/25,8:38:32,29.35,30.32,29.64,28.32,26.32,24.91,25.62
2025/7/25,8:38:34,29.35,30.3,29.64,28.3,27.23,24.91,25.62
2025/7/25,8:38:36,29.35,30.3,29.64,28.28,27.55,24.89,25.63
2025/7/25,8:38:38,29.35,30.3,29.62,28.3,27.96,24.91,25.63
2025/7/25,8:38:40,29.37,30.32,29.62,28.3,29.01,24.91,25.63
2025/7/25,8:38:42,29.35,30.32,29.62,28.32,29.26,24.91,25.63
2025/7/25,8:38:44,29.39,30.35,29.64,28.35,29.39,24.92,25.64
2025/7/25,8:38:46,29.39,30.35,29.66,28.37,29.44,24.96,25.64
2025/7/25,8:38:48,29.39,30.37,29.66,28.37,29.55,24.96,25.64
2025/7/25,8:38:50,29.39,30.35,29.64,28.39,29.69,24.94,25.64
2025/7/25,8:38:52,29.39,30.33,29.64,28.39,29.78,24.94,25.64
2025/7/25,8:38:54,29.39,30.32,29.67,28.41,29.83,24.94,25.65
2025/7/25,8:38:56,29.42,30.35,29.67,28.41,29.96,24.94,25.65
2025/7/25,8:38:58,29.44,30.37,29.69,28.44,30.12,24.94,25.66
2025/7/25,8:39:00,29.42,30.35,29.69,28.46,30,24.96,25.66
2025/7/25,8:39:02,29.44,30.35,29.67,28.46,29.94,24.96,25.66
2025/7/25,8:39:04,29.44,30.32,29.69,28.44,29.94,25.07,25.66
2025/7/25,8:39:06,29.44,30.32,29.71,28.44,29.91,28.05,25.66
2025/7/25,8:39:08,29.44,30.32,29.71,28.44,29.91,30.26,25.67
2025/7/25,8:39:10,29.44,30.3,29.71,28.44,29.87,28.08,25.67
2025/7/25,8:39:12,29.44,30.28,29.69,28.42,29.83,27.14,25.67
2025/7/25,8:39:14,29.44,30.28,29.71,28.42,29.83,27.1,25.67
2025/7/25,8:39:16,29.44,30.28,29.71,28.39,29.8,26.92,25.67
2025/7/25,8:39:18,29.42,30.26,29.71,28.41,29.78,26.92,25.68
2025/7/25,8:39:20,29.44,30.25,29.69,28.41,29.75,28.07,25.68
2025/7/25,8:39:22,29.42,30.23,29.69,28.42,29.75,30.17,25.68
2025/7/25,8:39:24,29.42,30.26,29.67,28.41,29.69,30.62,25.68
2025/7/25,8:39:26,29.42,30.3,29.67,28.42,29.71,30.73,25.69
2025/7/25,8:39:28,29.44,30.33,29.67,28.42,29.69,30.37,25.69
2025/7/25,8:39:30,29.41,30.37,29.66,28.44,29.71,30.62,25.69
2025/7/25,8:39:32,29.42,30.39,29.66,28.42,29.71,30.39,25.69
2025/7/25,8:39:34,29.39,30.42,29.69,28.41,29.73,29.87,25.7
2025/7/25,8:39:36,29.41,30.39,29.69,28.42,29.69,29.37,25.7
2025/7/25,8:39:38,29.41,30.39,29.66,28.42,29.69,28.98,25.7
2025/7/25,8:39:40,29.41,30.39,29.67,28.42,29.85,28.8,25.7
2025/7/25,8:39:42,29.39,30.42,29.67,28.42,29.76,28.6,25.7
2025/7/25,8:39:44,29.41,30.46,29.69,28.46,29.73,28.46,25.71
2025/7/25,8:39:46,29.42,30.42,29.71,28.48,29.73,28.37,25.71
2025/7/25,8:39:48,29.41,30.39,29.69,28.44,29.69,28.26,25.71
2025/7/25,8:39:50,29.42,30.39,29.71,28.42,29.64,28.14,25.71
2025/7/25,8:39:52,29.41,30.37,29.71,28.39,29.62,28.07,25.71
2025/7/25,8:39:54,29.42,30.37,29.71,28.37,29.62,27.98,25.72
2025/7/25,8:39:56,29.39,30.32,29.73,28.35,29.62,27.89,25.72
2025/7/25,8:39:58,29.39,30.32,29.76,28.35,29.62,27.85,25.73
2025/7/25,8:40:00,29.39,30.33,29.85,28.35,29.57,27.78,25.73
2025/7/25,8:40:02,29.39,30.33,29.89,28.35,29.6,27.71,25.73
2025/7/25,8:40:04,29.41,30.35,29.91,28.33,29.57,27.67,25.73
2025/7/25,8:40:06,29.39,30.32,29.89,28.33,29.55,27.57,25.74
2025/7/25,8:40:08,29.37,30.33,29.91,28.32,29.51,27.55,25.74
2025/7/25,8:40:10,29.37,30.32,29.89,28.32,29.46,27.48,25.74
2025/7/25,8:40:12,29.37,30.33,29.89,28.33,29.46,27.41,25.74
2025/7/25,8:40:14,29.39,30.3,29.91,28.35,29.42,27.39,25.75
2025/7/25,8:40:16,29.37,30.3,29.91,28.35,29.42,27.37,25.75
