日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD
2025/7/26,8:33:53,28.82,29.71,28.96,27.89,28.21,26.62,25.66
2025/7/26,8:33:55,28.82,29.69,28.94,27.87,28.19,26.6,25.66
2025/7/26,8:33:57,28.82,29.67,28.92,27.85,28.17,26.57,25.66
2025/7/26,8:33:59,28.8,29.67,28.89,27.85,28.17,26.53,25.66
2025/7/26,8:34:01,28.78,29.66,28.91,27.85,28.19,26.53,25.66
2025/7/26,8:34:03,28.8,29.64,28.89,27.85,28.17,26.51,25.66
2025/7/26,8:34:05,28.78,29.64,28.87,27.85,28.17,26.5,25.66
2025/7/26,8:34:07,28.78,29.62,28.85,27.82,28.14,26.46,25.66
2025/7/26,8:34:09,28.78,29.62,28.85,27.82,28.14,26.42,25.66
2025/7/26,8:34:11,28.76,29.6,28.82,27.82,28.14,26.42,25.66
2025/7/26,8:34:13,28.75,29.58,28.8,27.82,28.14,26.39,25.66
2025/7/26,8:34:15,28.76,29.58,28.8,27.82,28.14,26.39,25.66
2025/7/26,8:34:17,28.73,29.57,28.8,27.8,28.1,26.37,25.66
2025/7/26,8:34:19,28.73,29.55,28.78,27.8,28.1,26.35,25.66
2025/7/26,8:34:21,28.73,29.53,28.78,27.8,28.1,26.35,25.66
2025/7/26,8:34:23,28.73,29.53,28.76,27.78,28.1,26.33,25.66
2025/7/26,8:34:25,28.73,29.53,28.75,27.8,28.1,26.3,25.66
2025/7/26,8:34:27,28.73,29.51,28.75,27.78,28.1,26.26,25.66
2025/7/26,8:34:29,28.73,29.51,28.73,27.76,28.08,26.23,25.66
2025/7/26,8:34:31,28.71,29.5,28.71,27.75,28.07,26.23,25.66
2025/7/26,8:34:33,28.69,29.46,28.69,27.73,28.05,26.19,25.65
2025/7/26,8:34:35,28.69,29.46,28.67,27.73,28.05,26.19,25.65
2025/7/26,8:34:37,28.69,29.46,28.67,27.71,28.03,26.17,25.65
2025/7/26,8:34:39,28.69,29.42,28.67,27.71,28.03,26.17,25.65
2025/7/26,8:34:41,28.69,29.42,28.64,27.71,28.01,26.16,25.65
2025/7/26,8:34:43,28.67,29.42,28.62,27.71,28.03,26.14,25.65
2025/7/26,8:34:45,28.66,29.39,28.62,27.67,28.03,26.12,25.65
2025/7/26,8:34:47,28.64,29.42,28.62,27.67,28.01,26.1,25.65
2025/7/26,8:34:49,28.64,29.37,28.6,27.67,28.01,26.1,25.65
2025/7/26,8:34:51,28.64,29.37,28.6,27.67,28,26.08,25.65
2025/7/26,8:34:53,28.67,29.37,28.6,27.67,28.01,26.07,25.65
2025/7/26,8:34:56,28.66,29.37,28.57,27.67,27.98,26.07,25.65
2025/7/26,8:34:58,28.66,29.35,28.57,27.66,28,26.05,25.65
2025/7/26,8:35:00,28.64,29.33,28.57,27.64,27.98,26.03,25.65
2025/7/26,8:35:02,28.66,29.35,28.57,27.64,27.98,26.03,25.65
2025/7/26,8:35:04,28.64,29.32,28.55,27.64,27.96,26.03,25.65
2025/7/26,8:35:06,28.67,29.33,28.55,27.66,27.98,26.05,25.66
2025/7/26,8:35:08,28.64,29.33,28.55,27.66,27.98,26.01,25.66
2025/7/26,8:35:10,28.62,29.3,28.51,27.62,27.94,25.98,25.65
2025/7/26,8:35:12,28.64,29.3,28.51,27.62,27.96,25.96,25.65
2025/7/26,8:35:14,28.64,29.28,28.51,27.62,27.94,25.94,25.65
2025/7/26,8:35:16,28.62,29.26,28.48,27.62,27.94,25.94,25.65
2025/7/26,8:35:18,28.62,29.28,28.48,27.62,27.94,25.92,25.65
2025/7/26,8:35:20,28.64,29.25,28.46,27.62,27.92,25.94,25.65
2025/7/26,8:35:22,28.62,29.26,28.44,27.6,27.92,25.92,25.65
2025/7/26,8:35:24,28.62,29.25,28.44,27.62,27.92,25.92,25.65
2025/7/26,8:35:26,28.62,29.23,28.44,27.58,27.91,25.89,25.65
2025/7/26,8:35:28,28.62,29.23,28.44,27.6,27.91,25.89,25.65
2025/7/26,8:35:30,28.62,29.21,28.44,27.57,27.91,25.91,25.65
2025/7/26,8:35:32,28.62,29.21,28.44,27.57,27.91,25.89,25.65
2025/7/26,8:35:34,28.6,29.21,28.41,27.57,27.89,25.89,25.65
2025/7/26,8:35:36,28.6,29.21,28.42,27.58,27.89,25.87,25.65
2025/7/26,8:35:38,28.62,29.19,28.39,27.58,27.89,25.87,25.65
2025/7/26,8:35:40,28.6,29.17,28.39,27.57,27.87,25.87,25.65
2025/7/26,8:35:42,28.6,29.19,28.39,27.57,27.89,25.87,25.65
2025/7/26,8:35:44,28.58,29.17,28.37,27.55,27.87,25.85,25.65
2025/7/26,8:35:46,28.58,29.17,28.37,27.55,27.87,25.85,25.65
2025/7/26,8:35:48,28.58,29.17,28.37,27.57,27.87,25.83,25.65
2025/7/26,8:35:50,28.58,29.14,28.35,27.55,27.85,25.85,25.65
2025/7/26,8:35:52,28.62,29.16,28.35,27.55,27.85,25.85,25.64
2025/7/26,8:35:54,28.6,29.14,28.35,27.53,27.85,25.83,25.64
2025/7/26,8:35:56,28.6,29.14,28.37,27.53,27.85,25.83,25.64
2025/7/26,8:35:58,28.58,29.12,28.35,27.51,27.85,25.83,25.64
2025/7/26,8:36:00,28.55,29.12,28.33,27.53,27.83,25.85,25.64
2025/7/26,8:36:02,28.55,29.12,28.32,27.53,27.83,25.8,25.64
2025/7/26,8:36:04,28.55,29.1,28.35,27.51,27.82,25.8,25.64
2025/7/26,8:36:06,28.55,29.1,28.32,27.51,27.82,25.78,25.64
2025/7/26,8:36:08,28.55,29.1,28.32,27.5,27.82,25.75,25.64
2025/7/26,8:36:10,28.53,29.1,28.3,27.5,27.82,25.73,25.64
2025/7/26,8:36:12,28.51,29.08,28.28,27.48,27.82,25.71,25.64
2025/7/26,8:36:14,28.48,29.05,28.25,27.48,27.78,25.66,25.63
2025/7/26,8:36:16,28.5,29.05,28.23,27.46,27.76,25.64,25.63
2025/7/26,8:36:18,28.48,29.05,28.19,27.46,27.76,25.64,25.63
2025/7/26,8:36:20,28.48,29.03,28.19,27.44,27.76,25.64,25.63
2025/7/26,8:36:22,28.46,29.03,28.17,27.46,27.76,25.64,25.62
2025/7/26,8:36:24,28.48,29.03,28.17,27.44,27.76,25.62,25.62
2025/7/26,8:36:26,28.5,29.01,28.17,27.44,27.75,25.64,25.62
2025/7/26,8:36:28,28.48,29.01,28.16,27.44,27.73,25.62,25.62
2025/7/26,8:36:30,28.46,29.01,28.17,27.42,27.73,25.64,25.62
2025/7/26,8:36:32,28.48,29,28.17,27.42,27.73,25.62,25.62
2025/7/26,8:36:34,28.46,29,28.17,27.42,27.73,25.64,25.62
2025/7/26,8:36:36,28.48,29,28.16,27.42,27.71,25.64,25.62
2025/7/26,8:36:38,28.44,28.96,28.14,27.39,27.69,25.6,25.61
2025/7/26,8:36:40,28.48,28.98,28.17,27.44,27.73,25.6,25.62
2025/7/26,8:36:42,28.48,28.94,28.12,27.39,27.69,25.58,25.61
2025/7/26,8:36:44,28.46,28.94,28.14,27.39,27.69,25.58,25.61
2025/7/26,8:36:46,28.44,28.92,28.14,27.41,27.69,25.57,25.61
2025/7/26,8:36:48,28.42,28.94,28.14,27.37,27.67,25.57,25.61
2025/7/26,8:36:50,28.42,28.94,28.1,27.37,27.67,25.53,25.61
2025/7/26,8:36:52,28.42,28.94,28.1,27.35,27.67,25.5,25.61
2025/7/26,8:36:54,28.41,28.91,28.08,27.35,27.67,25.48,25.61
2025/7/26,8:36:56,28.41,28.91,28.08,27.32,27.64,25.48,25.61
2025/7/26,8:36:58,28.41,28.92,28.07,27.32,27.64,25.48,25.61
2025/7/26,8:37:00,28.39,28.91,28.05,27.32,27.64,25.48,25.61
2025/7/26,8:37:02,28.39,28.89,28.05,27.32,27.64,25.46,25.61
2025/7/26,8:37:04,28.37,28.87,28.05,27.32,27.62,25.46,25.6
2025/7/26,8:37:06,28.39,28.89,28.05,27.3,27.64,25.48,25.6
2025/7/26,8:37:08,28.39,28.87,28.03,27.3,27.62,25.5,25.6
2025/7/26,8:37:10,28.37,28.87,28.05,27.3,27.62,25.48,25.6
2025/7/26,8:37:12,28.35,28.87,28.05,27.32,27.62,25.5,25.6
2025/7/26,8:37:14,28.37,28.87,28.03,27.32,27.6,25.5,25.6
2025/7/26,8:37:16,28.32,28.83,28.03,27.28,27.6,25.48,25.59
2025/7/26,8:37:18,28.32,28.83,28.01,27.26,27.58,25.46,25.59
2025/7/26,8:37:20,28.32,28.82,28,27.26,27.57,25.44,25.59
2025/7/26,8:37:22,28.3,28.82,28,27.26,27.57,25.44,25.59
2025/7/26,8:37:24,28.32,28.82,27.98,27.25,27.55,25.44,25.59
2025/7/26,8:37:26,28.32,28.82,28.01,27.26,27.57,25.44,25.59
2025/7/26,8:37:28,28.3,28.82,27.98,27.26,27.57,25.46,25.59
2025/7/26,8:37:30,28.28,28.8,27.98,27.23,27.55,25.46,25.58
