日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD
2025/7/28,8:33:33,21.96,21.94,21.67,22.05,22.35,22.12,23.79
2025/7/28,8:33:35,21.96,21.92,21.67,22.05,22.41,22.1,23.78
2025/7/28,8:33:37,21.98,21.96,21.73,22.03,22.41,22.12,23.79
2025/7/28,8:33:39,22.01,21.96,21.76,22.03,22.44,22.12,23.78
2025/7/28,8:33:41,22.01,21.98,21.8,22.05,22.48,22.12,23.78
2025/7/28,8:33:43,22.01,21.96,21.82,22.07,22.48,22.14,23.78
2025/7/28,8:33:45,22.01,22,21.83,22.05,22.46,22.17,23.78
2025/7/28,8:33:47,22.03,22.01,21.83,22.03,22.42,22.14,23.78
2025/7/28,8:33:49,22.03,21.98,21.85,22.03,22.39,22.14,23.78
2025/7/28,8:33:51,22.03,22.01,21.85,22.07,22.42,22.17,23.78
2025/7/28,8:33:53,22.03,22.01,21.87,22.03,22.44,22.19,23.78
2025/7/28,8:33:55,22.01,22,21.8,22.05,22.42,22.19,23.79
2025/7/28,8:33:57,22.03,21.98,21.78,22.07,22.44,22.19,23.79
2025/7/28,8:33:59,22.01,22,21.78,22.05,22.42,22.17,23.79
2025/7/28,8:34:01,22,21.98,21.78,22,22.37,22.19,23.79
2025/7/28,8:34:03,21.92,21.94,21.66,21.96,22.35,22.17,23.79
2025/7/28,8:34:05,21.89,21.96,21.66,21.94,22.32,22.12,23.79
2025/7/28,8:34:07,21.96,21.96,21.71,21.92,22.42,22.16,23.8
2025/7/28,8:34:09,21.98,21.98,21.78,21.94,22.42,22.17,23.8
2025/7/28,8:34:11,22,22,21.8,21.94,22.44,22.19,23.8
2025/7/28,8:34:13,22.01,22,21.8,21.98,22.46,22.19,23.8
2025/7/28,8:34:15,21.96,22.01,21.75,21.92,22.3,22.16,23.8
2025/7/28,8:34:17,22.66,22.51,21.73,22.25,22.25,22.28,23.8
2025/7/28,8:34:19,22.78,23.21,22.8,22.66,22.41,22.39,23.8
2025/7/28,8:34:21,23.51,25.03,22.71,22.83,22.57,22.42,23.8
2025/7/28,8:34:23,26.69,23.39,22.53,23.1,22.67,22.46,23.8
2025/7/28,8:34:25,28.33,23.1,22.62,22.82,22.35,22.51,23.8
2025/7/28,8:34:27,26.23,22.85,22.92,23.05,22.37,22.53,23.8
2025/7/28,8:34:29,25.17,22.8,23.44,23.17,22.3,22.55,23.81
2025/7/28,8:34:31,25.39,22.76,23.5,23.12,22.28,22.64,23.81
2025/7/28,8:34:33,27.12,22.67,23.64,23.35,22.37,22.64,23.81
2025/7/28,8:34:35,27.51,22.53,23.62,24.23,22.17,22.67,23.81
2025/7/28,8:34:37,27.64,22.53,23.17,23.21,22.01,22.66,23.81
2025/7/28,8:34:39,27.89,22.57,22.82,22.78,21.87,22.69,23.81
2025/7/28,8:34:41,28.1,22.6,22.85,22.6,21.89,22.66,23.82
2025/7/28,8:34:43,28.19,22.69,22.8,22.48,21.82,22.6,23.82
2025/7/28,8:34:45,28.3,22.75,22.85,22.39,21.82,22.57,23.82
2025/7/28,8:34:47,28.35,22.62,22.87,22.39,21.78,22.51,23.82
2025/7/28,8:34:49,28.44,22.64,22.8,22.41,21.82,22.44,23.83
2025/7/28,8:34:51,28.48,22.6,25.01,22.12,21.69,22.44,23.83
2025/7/28,8:34:53,28.51,22.62,26.21,22.17,21.73,22.39,23.83
2025/7/28,8:34:55,28.51,22.67,26.17,22.03,21.76,22.37,23.83
2025/7/28,8:34:57,28.53,22.91,28.51,22.1,21.67,22.35,23.83
2025/7/28,8:34:59,28.58,23.08,27.03,21.92,21.71,22.32,23.83
2025/7/28,8:35:01,28.64,23.14,27.1,21.87,21.64,22.3,23.83
2025/7/28,8:35:03,28.64,23.08,26.96,22.03,21.64,22.28,23.83
2025/7/28,8:35:05,28.62,22.53,26.98,22.21,21.69,22.26,23.83
2025/7/28,8:35:07,28.64,24.21,27.05,22.57,21.69,22.26,23.84
2025/7/28,8:35:09,28.64,26.64,27.1,22.5,21.69,22.25,23.84
2025/7/28,8:35:11,28.67,27.5,27.14,22.46,21.73,22.25,23.84
2025/7/28,8:35:13,28.69,27.8,27.19,22.39,21.73,22.23,23.84
2025/7/28,8:35:15,28.67,28.19,27.21,22.73,22.03,22.17,23.84
2025/7/28,8:35:17,28.67,28.46,27.25,22.66,22.19,22.17,23.84
2025/7/28,8:35:19,28.66,28.62,27.26,22.64,22.19,22.12,23.84
2025/7/28,8:35:21,28.62,28.75,27.26,22.57,23.05,22.03,23.84
2025/7/28,8:35:23,28.6,28.83,27.28,22.64,24.1,22.05,23.84
2025/7/28,8:35:25,28.57,28.89,27.28,22.62,26.69,22.07,23.84
2025/7/28,8:35:27,28.57,28.94,27.41,22.66,28.51,22.07,23.84
2025/7/28,8:35:29,28.57,28.91,27.58,22.53,28.53,22.1,23.84
2025/7/28,8:35:31,28.57,28.89,27.64,22.87,28.57,22.08,23.84
2025/7/28,8:35:33,28.57,28.87,27.64,22.53,28.62,22.07,23.84
2025/7/28,8:35:35,28.58,28.89,27.62,23.33,28.62,22.03,23.84
2025/7/28,8:35:37,28.57,28.91,27.6,22.85,28.6,22,23.84
2025/7/28,8:35:39,28.57,28.91,27.6,23.21,28.57,22,23.84
2025/7/28,8:35:41,28.6,28.92,27.57,26.19,28.55,22.01,23.84
2025/7/28,8:35:43,28.73,28.92,27.55,26.21,28.53,21.98,23.84
2025/7/28,8:35:45,28.8,28.92,27.55,26.39,28.46,22.14,23.84
2025/7/28,8:35:47,28.82,28.92,27.53,26.51,28.42,22.23,23.84
2025/7/28,8:35:49,28.85,28.92,27.5,26.55,28.39,22.39,23.84
2025/7/28,8:35:51,28.87,28.92,27.5,26.6,28.33,22.6,23.84
2025/7/28,8:35:53,28.87,28.92,27.48,26.64,28.3,22.71,23.84
2025/7/28,8:35:55,28.87,28.92,27.48,26.66,28.28,22.87,23.84
2025/7/28,8:35:57,28.89,28.92,27.5,26.69,28.23,23.08,23.84
2025/7/28,8:35:59,28.94,28.94,27.51,26.73,28.23,23.21,23.85
2025/7/28,8:36:01,28.96,28.94,27.51,26.73,28.21,23.3,23.85
2025/7/28,8:36:03,28.98,28.98,27.51,26.73,28.19,23.46,23.85
2025/7/28,8:36:05,28.98,28.98,27.51,26.73,28.14,23.67,23.86
2025/7/28,8:36:07,28.98,28.98,27.51,26.75,28.14,23.78,23.86
2025/7/28,8:36:09,28.98,28.98,27.5,26.76,28.08,24.16,23.86
2025/7/28,8:36:11,29.01,29,27.53,26.8,28.1,27.55,23.87
2025/7/28,8:36:13,29.05,29.03,27.55,26.78,28.03,27.48,23.87
2025/7/28,8:36:15,29.03,29.03,27.55,26.75,27.98,29,23.87
2025/7/28,8:36:17,29.03,29.03,27.55,27.01,27.94,28.23,23.87
2025/7/28,8:36:19,28.94,29.01,27.57,28.44,27.87,27.69,23.87
2025/7/28,8:36:21,28.89,29.03,27.67,28.6,27.82,27.05,23.88
2025/7/28,8:36:23,28.92,29.01,27.67,28.73,27.78,26.67,23.88
2025/7/28,8:36:25,28.94,28.98,27.69,28.46,27.71,26.44,23.88
2025/7/28,8:36:27,28.94,28.98,27.67,28.32,27.71,26.19,23.88
2025/7/28,8:36:29,28.96,28.96,27.69,28.25,27.67,25.98,23.88
2025/7/28,8:36:31,28.96,28.96,27.67,28.17,27.64,25.85,23.88
2025/7/28,8:36:33,29,28.98,27.67,28.17,27.64,25.71,23.89
2025/7/28,8:36:35,29.05,28.96,27.62,28.14,27.6,25.57,23.89
2025/7/28,8:36:37,29.07,28.92,27.6,28.07,27.6,25.48,23.89
2025/7/28,8:36:39,29.07,28.92,27.55,28.03,27.55,25.39,23.9
2025/7/28,8:36:41,29.05,28.94,27.57,28.01,28.19,25.32,23.9
2025/7/28,8:36:43,29.05,28.96,27.53,27.98,29.42,26.75,23.9
2025/7/28,8:36:45,29.05,29.01,27.57,27.96,29.53,28.41,23.91
2025/7/28,8:36:47,29.07,29.07,27.78,27.94,29.48,29.16,23.91
2025/7/28,8:36:49,29.07,29.07,27.69,27.91,29.37,28.55,23.91
2025/7/28,8:36:51,29.08,29.08,27.67,27.83,29.3,28.01,23.91
2025/7/28,8:36:53,29.08,29.08,27.66,27.83,29.16,27.42,23.91
2025/7/28,8:36:55,29.05,29.12,27.73,27.8,29.05,27.3,23.92
2025/7/28,8:36:57,29.01,29.1,27.75,27.78,29.03,28.46,23.92
2025/7/28,8:36:59,28.96,29.3,27.75,27.75,28.89,29.05,23.92
2025/7/28,8:37:01,28.96,29.16,27.69,27.75,28.82,28.51,23.92
2025/7/28,8:37:03,28.98,29.07,27.64,27.75,28.71,28.17,23.92
2025/7/28,8:37:05,28.98,29.01,27.6,27.71,28.64,27.71,23.92
2025/7/28,8:37:07,28.94,29,27.57,27.66,28.55,27.37,23.92
2025/7/28,8:37:09,28.94,28.96,27.57,27.62,28.42,27.19,23.93
2025/7/28,8:37:11,28.92,28.92,27.55,27.57,28.39,26.94,23.93
2025/7/28,8:37:13,28.91,28.92,27.53,27.57,28.3,26.75,23.93
2025/7/28,8:37:15,28.92,28.92,27.55,27.55,28.28,26.67,23.94
2025/7/28,8:37:17,28.91,28.89,27.53,27.55,28.23,26.53,23.94
2025/7/28,8:37:19,28.89,28.87,27.53,27.48,28.14,26.42,23.94
2025/7/28,8:37:21,28.87,28.85,27.53,27.48,28.1,26.32,23.94
2025/7/28,8:37:23,28.87,28.85,27.53,27.44,28.05,26.21,23.94
2025/7/28,8:37:25,28.87,28.82,27.53,27.41,27.98,26.12,23.94
2025/7/28,8:37:27,28.85,28.8,27.53,27.39,27.91,26.1,23.94
2025/7/28,8:37:29,28.82,28.78,27.51,27.57,27.87,26.05,23.94
2025/7/28,8:37:31,28.82,28.76,27.51,27.58,27.87,25.98,23.95
2025/7/28,8:37:33,28.83,28.78,27.51,27.64,27.82,25.94,23.95
2025/7/28,8:37:35,28.85,28.78,27.51,27.73,27.8,25.92,23.95
2025/7/28,8:37:37,28.83,28.78,27.51,27.69,27.78,25.89,23.96
2025/7/28,8:37:39,28.83,28.78,27.51,27.64,27.76,25.83,23.96
2025/7/28,8:37:41,28.8,28.78,27.51,27.62,27.73,25.78,23.96
2025/7/28,8:37:43,28.78,28.76,27.5,27.55,27.71,25.73,23.97
2025/7/28,8:37:45,28.78,28.75,27.48,27.53,27.64,25.67,23.97
2025/7/28,8:37:47,28.78,28.76,27.51,27.53,27.66,25.69,23.98
2025/7/28,8:37:49,28.76,28.75,27.51,27.51,27.62,25.64,23.98
2025/7/28,8:37:51,28.76,28.75,27.48,27.46,27.58,25.62,23.99
2025/7/28,8:37:53,28.73,28.73,27.48,27.44,27.57,25.6,23.99
2025/7/28,8:37:55,28.71,28.71,27.48,27.41,27.55,25.55,23.99
2025/7/28,8:37:57,28.71,28.71,27.48,27.39,27.53,25.53,23.99
2025/7/28,8:37:59,28.71,28.69,27.46,27.35,27.51,25.5,23.99
2025/7/28,8:38:01,28.71,28.67,27.46,27.33,27.46,25.46,23.99
2025/7/28,8:38:03,28.67,28.67,27.46,27.32,27.44,25.42,23.99
2025/7/28,8:38:05,28.69,28.67,27.44,27.28,27.42,25.39,23.99
2025/7/28,8:38:07,28.64,28.66,27.46,27.26,27.39,25.35,23.99
2025/7/28,8:38:09,28.66,28.64,27.44,27.25,27.37,25.3,23.99
2025/7/28,8:38:11,28.64,28.62,27.44,27.23,27.35,25.28,23.99
2025/7/28,8:38:13,28.64,28.62,27.48,27.23,27.33,25.26,24
2025/7/28,8:38:15,28.62,28.6,27.46,27.21,27.3,25.21,24
2025/7/28,8:38:17,28.64,28.6,27.44,27.17,27.28,25.19,24
2025/7/28,8:38:19,28.62,28.6,27.46,27.17,27.26,25.19,24
2025/7/28,8:38:21,28.6,28.57,27.44,27.17,27.26,25.17,24
2025/7/28,8:38:23,28.6,28.57,27.46,27.14,27.21,25.14,24
2025/7/28,8:38:25,28.57,28.55,27.44,27.1,27.21,25.14,24
2025/7/28,8:38:27,28.55,28.53,27.44,27.08,27.17,25.1,24
2025/7/28,8:38:29,28.55,28.53,27.44,27.05,27.14,25.08,24
2025/7/28,8:38:31,28.53,28.51,27.44,27.05,27.14,25.07,24
2025/7/28,8:38:33,28.53,28.51,27.46,27.05,27.12,25.07,24.01
2025/7/28,8:38:35,28.51,28.51,27.42,27.03,27.12,25.05,24.01
