日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD,,,
2025/8/8,8:15:53,20.85,21.76,21.62,22.92,23.17,24.37,24.7,,,
2025/8/8,8:15:55,21.85,21.76,21.82,23.03,23.21,24.37,24.7,,, 
2025/8/8,8:15:57,23.14,21.78,22.12,23.08,23.21,24.37,24.7,,,
2025/8/8,8:15:59,25.58,21.91,22.82,23.1,23.23,24.37,24.7,,,
2025/8/8,8:16:01,32.14,22.21,23.67,23.17,23.35,24.3,24.7,,,
2025/8/8,8:16:03,43.32,22.51,25.37,23.33,23.46,24.19,24.7,,,
2025/8/8,8:16:05,52.71,23.07,27.39,23.8,23.6,24.14,24.7,,,
2025/8/8,8:16:07,69.57,23.76,29.07,24.37,23.69,24.03,24.7,,,
2025/8/8,8:16:09,82,24.32,32.14,25.64,23.83,23.94,24.7,,,
2025/8/8,8:16:11,101.59,25.26,34.42,26.67,23.96,23.83,24.7,,,
2025/8/8,8:16:13,114.71,25.96,37.46,28.19,24.19,23.75,24.7,,,
2025/8/8,8:16:15,133.66,27.26,39.14,29.21,24.35,23.69,24.7,,,
2025/8/8,8:16:17,145.05,28.23,41.27,30.73,24.69,23.66,24.7,,,
2025/8/8,8:16:19,160.9,29.87,43.2,32.22,24.94,23.62,24.7,,,
2025/8/8,8:16:21,175.46,31.89,44.57,33.28,25.35,23.58,24.7,,,
2025/8/8,8:16:23,184.5,33.46,46.81,34.92,25.78,23.57,24.7,,,
2025/8/8,8:16:25,197.3,36.1,49.17,36.71,26.08,23.58,24.7,,,
2025/8/8,8:16:27,209.25,39.04,50.85,38.03,26.48,23.58,24.7,,,
2025/8/8,8:16:29,220.52,41.15,53.5,40.25,26.98,23.6,24.69,,,
2025/8/8,8:16:31,227.68,44.52,56.39,42.5,27.46,23.64,24.7,,,
2025/8/8,8:16:33,237.91,47.95,59.67,44.07,27.89,23.71,24.7,,,
2025/8/8,8:16:35,247.27,50.32,62.1,46.43,28.53,23.8,24.7,,,
2025/8/8,8:16:37,253.03,54,65.87,48.74,29.07,23.89,24.69,,,
2025/8/8,8:16:39,260.95,57.81,69.37,50.27,29.46,24.07,24.69,,,
2025/8/8,8:16:41,268,60.42,71.4,52.52,30.05,24.3,24.69,,,
2025/8/8,8:16:43,272.19,64.31,74.04,54.7,30.64,24.48,24.69,,,
2025/8/8,8:16:45,277.93,68.23,76.29,56.14,31.1,24.82,24.69,,,
2025/8/8,8:16:47,282.73,70.81,77.64,58.32,31.78,25.21,24.69,,,
2025/8/8,8:16:49,285.44,74.62,79.42,60.57,32.42,25.66,24.69,,,
2025/8/8,8:16:51,289.2,78.46,80.98,62.89,32.9,25.98,24.69,,,
2025/8/8,8:16:53,292.7,82.31,81.9,64.4,33.59,26.55,24.69,,,
2025/8/8,8:16:55,295.14,84.9,83.15,66.75,34.29,27.14,24.69,,,
2025/8/8,8:16:57,298.33,88.9,84.28,69.09,34.77,27.57,24.69,,,
2025/8/8,8:16:59,301.33,92.95,84.98,70.79,35.57,28.26,24.69,,,
2025/8/8,8:17:01,302.93,95.51,85.95,73.4,36.39,28.96,24.69,,,
2025/8/8,8:17:03,304.98,99.09,86.9,76,36.92,29.46,24.69,,,
2025/8/8,8:17:05,306.82,102.51,87.5,77.64,37.64,30.26,24.69,,,
2025/8/8,8:17:07,307.87,104.7,88.42,79.93,38.31,31.01,24.69,,,
2025/8/8,8:17:09,309.57,107.92,89.1,81.75,39.02,31.55,24.69,,,
2025/8/8,8:17:11,311.1,111.15,90,83.06,39.42,32.29,24.68,,,
2025/8/8,8:17:13,315.48,113.34,90.56,85.54,40.1,33.1,24.68,,,
2025/8/8,8:17:15,315.55,116.43,91.45,87.84,40.61,33.64,24.68,,,
2025/8/8,8:17:17,316.86,119.39,92.03,89.18,41.36,34.45,24.68,,,
2025/8/8,8:17:19,317.57,121.29,92.9,91.01,42.03,35.2,24.68,,,
2025/8/8,8:17:21,317.7,123.92,93.68,92.79,42.82,35.64,24.68,,,
2025/8/8,8:17:23,317.7,126.42,94.4,93.93,43.29,36.34,24.68,,,
2025/8/8,8:17:25,317.95,127.95,94.87,95.62,43.99,36.96,24.68,,,
2025/8/8,8:17:27,318.25,130.21,95.54,97.29,44.7,37.36,24.68,,,
2025/8/8,8:17:29,318.69,132.34,96.2,98.35,45.2,37.95,24.68,,,
2025/8/8,8:17:31,319.22,133.68,96.68,99.92,45.86,38.53,24.69,,,
2025/8/8,8:17:33,319.54,135.59,97.31,101.37,46.52,38.82,24.68,,,
2025/8/8,8:17:35,319.93,137.53,97.98,102.82,47.02,39.39,24.69,,,
2025/8/8,8:17:37,320.3,139.4,98.4,103.73,47.6,39.9,24.69,,,
2025/8/8,8:17:39,320.47,140.62,99.06,105.09,48.17,40.39,24.68,,,
2025/8/8,8:17:41,320.82,142.53,99.75,106.37,48.59,40.75,24.68,,,
2025/8/8,8:17:43,321.19,144.43,100.2,107.18,49.35,41.32,24.68,,,
2025/8/8,8:17:45,321.38,145.77,100.85,108.35,50.06,41.9,24.68,,,
2025/8/8,8:17:47,321.66,147.71,101.53,109.54,50.5,42.28,24.68,,,
2025/8/8,8:17:49,321.81,149.65,101.98,110.31,51.21,42.85,24.68,,,
2025/8/8,8:17:51,321.87,150.9,102.64,111.37,51.86,43.45,24.68,,,
2025/8/8,8:17:53,321.92,152.68,103.28,112.4,52.24,43.78,24.68,,,
2025/8/8,8:17:55,321.94,154.36,103.68,112.98,52.82,44.25,24.68,,,
2025/8/8,8:17:57,321.89,155.41,104.29,113.9,53.5,44.71,24.68,,,
2025/8/8,8:17:59,321.81,156.93,104.92,114.85,54,44.95,24.68,,,
2025/8/8,8:18:01,321.74,158.41,105.31,115.46,54.7,45.32,24.68,,,
2025/8/8,8:18:03,321.62,159.38,105.87,116.25,55.21,45.79,24.68,,,
2025/8/8,8:18:05,321.47,160.77,106.45,117.01,55.82,46.09,24.68,,,
2025/8/8,8:18:07,321.23,162.12,107.01,117.4,56.17,46.5,24.68,,,
2025/8/8,8:18:09,321.02,163.03,107.37,117.98,56.85,46.89,24.68,,,
2025/8/8,8:18:11,320.89,164.28,107.92,118.54,57.49,47.13,24.67,,,
2025/8/8,8:18:13,320.61,165.53,108.48,118.9,57.85,47.47,24.68,,,
2025/8/8,8:18:15,320.3,166.36,108.82,119.46,58.39,47.75,24.68,,,
2025/8/8,8:18:17,320.12,167.53,109.37,119.98,58.99,47.92,24.68,,,
2025/8/8,8:18:19,319.75,168.68,109.9,120.31,59.47,48.24,24.68,,,
2025/8/8,8:18:21,319.38,169.4,110.26,120.84,60.15,48.6,24.67,,,
2025/8/8,8:18:23,319.16,170.47,110.81,121.32,60.71,49,24.68,,,
2025/8/8,8:18:25,318.77,171.5,111.34,121.73,61.1,49.27,24.68,,,
2025/8/8,8:18:27,318.42,172.53,111.73,122,61.75,49.65,24.67,,,
2025/8/8,8:18:29,318.18,173.21,112.29,122.35,62.45,50.1,24.67,,,
2025/8/8,8:18:31,317.77,174.13,112.84,122.68,62.85,50.39,24.67,,,
2025/8/8,8:18:33,317.26,175.06,113.21,122.9,63.32,50.86,24.67,,,
2025/8/8,8:18:35,316.95,175.65,113.84,123.21,63.96,51.36,24.67,,,
2025/8/8,8:18:37,316.48,176.55,114.43,123.43,64.39,51.5,24.67,,,
2025/8/8,8:18:39,316.18,177.43,114.82,123.59,65.09,51.75,24.67,,,
2025/8/8,8:18:41,315.94,177.99,115.48,123.84,65.65,52.04,24.68,,,
2025/8/8,8:18:43,315.52,178.75,116.09,123.98,66.01,52.25,24.68,,,
2025/8/8,8:18:45,315.08,179.5,116.51,124.07,66.65,52.63,24.67,,,
2025/8/8,8:18:47,314.75,179.97,117.12,124.35,67.35,52.85,24.67,,,
2025/8/8,8:18:49,314.18,180.69,117.7,124.65,67.84,53.03,24.67,,,
2025/8/8,8:18:51,313.6,181.4,118.29,124.89,68.48,53.34,24.67,,,
2025/8/8,8:18:53,313.04,181.83,118.7,125.15,69.07,53.67,24.67,,,
2025/8/8,8:18:55,312.64,182.43,119.29,125.31,69.65,53.88,24.66,,,
2025/8/8,8:18:57,312.25,183.03,119.87,125.45,70.01,54.28,24.66,,,
2025/8/8,8:18:59,311.79,183.37,120.23,125.59,70.42,54.5,24.66,,,
2025/8/8,8:19:01,311.43,183.87,120.76,125.79,70.82,54.57,24.66,,,
2025/8/8,8:19:03,310.58,184.37,121.26,125.9,71.2,54.78,24.66,,,
2025/8/8,8:19:05,309.99,184.71,121.6,126.01,71.73,55.03,24.66,,,
2025/8/8,8:19:07,309.57,185.13,122.06,126.14,72.4,55.22,24.66,,,
2025/8/8,8:19:09,309.02,185.59,122.54,126.23,72.84,55.57,24.66,,,
2025/8/8,8:19:11,308.5,185.9,122.87,126.45,73.45,55.78,24.66,,,
2025/8/8,8:19:13,308.29,186.37,123.37,126.68,74.09,56,24.67,,,
2025/8/8,8:19:15,307.8,186.84,123.87,126.87,74.46,56.15,24.67,,,
2025/8/8,8:19:17,307.26,187.34,124.2,127.01,75.01,56.43,24.67,,,
2025/8/8,8:19:19,306.87,187.68,124.76,127.2,75.64,56.65,24.67,,,
2025/8/8,8:19:21,306.32,188.24,125.31,127.35,76,56.82,24.67,,,
2025/8/8,8:19:23,305.83,188.81,125.65,127.46,76.51,57.18,24.67,,,
2025/8/8,8:19:25,305.42,189.22,126.2,127.65,76.95,57.7,24.67,,,
2025/8/8,8:19:27,305.13,189.8,126.73,127.81,77.39,57.99,24.67,,,
2025/8/8,8:19:29,304.62,190.37,127.26,127.9,77.73,58.28,24.67,,,
2025/8/8,8:19:31,304,190.72,127.6,128.03,78.29,58.52,24.67,,,
2025/8/8,8:19:33,303.67,191.28,128.09,128.05,78.68,58.71,24.67,,,
2025/8/8,8:19:35,303.12,191.81,128.59,128.06,79.04,58.93,24.67,,,
2025/8/8,8:19:37,302.49,192.15,128.9,128,79.48,59.25,24.67,,,
2025/8/8,8:19:39,302.04,192.59,129.34,128,79.81,59.5,24.67,,,
2025/8/8,8:19:41,300.7,192.99,129.83,128.02,80.09,59.78,24.67,,,
2025/8/8,8:19:43,300.18,193.24,130.12,127.96,80.32,60.06,24.67,,,
2025/8/8,8:19:45,299.86,193.58,130.59,127.98,80.84,60.31,24.67,,,
2025/8/8,8:19:47,299.35,193.9,131.05,128.03,80.98,60.5,24.67,,,
2025/8/8,8:19:49,298.83,194.22,131.34,128,81.29,60.67,24.67,,,
2025/8/8,8:19:51,298.48,194.43,131.75,127.95,81.7,60.86,24.67,,,
2025/8/8,8:19:53,297.93,194.68,132.18,127.98,82.06,60.96,24.67,,,
2025/8/8,8:19:55,297.42,194.93,132.46,128.02,82.68,61.17,24.67,,,
