日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD
2025/8/9,18:16:01,26.82,27.71,28.32,27.69,27.07,26.39,25.97
2025/8/9,18:16:03,26.82,27.69,28.42,27.78,27.05,26.37,25.97
2025/8/9,18:16:05,26.8,27.71,28.82,27.85,27.03,26.35,25.97
2025/8/9,18:16:07,26.85,27.76,29.48,28.26,27.05,26.35,25.98
2025/8/9,18:16:09,26.87,27.82,30.8,29.33,27.05,26.33,25.98
2025/8/9,18:16:11,26.96,27.91,32.6,30.42,27.05,26.32,25.98
2025/8/9,18:16:13,27.14,28.05,34.07,32.56,27.05,26.3,25.98
2025/8/9,18:16:15,27.26,28.14,36.35,35.14,27.05,26.3,25.98
2025/8/9,18:16:17,27.51,28.33,38.67,38,27.08,26.3,25.98
2025/8/9,18:16:19,27.83,28.57,40.21,40.02,27.1,26.3,25.98
2025/8/9,18:16:21,28.07,28.78,42.46,43.17,27.14,26.33,25.98
2025/8/9,18:16:23,28.46,29.1,44.65,46.57,27.16,26.33,25.98
2025/8/9,18:16:25,28.89,29.53,46.11,48.89,27.19,26.39,25.98
2025/8/9,18:16:27,29.21,29.87,48.32,52.47,27.26,26.42,25.98
2025/8/9,18:16:29,29.73,30.42,50.52,56.21,27.3,26.44,25.98
2025/8/9,18:16:31,30.3,31.03,51.93,58.78,27.39,26.51,25.99
2025/8/9,18:16:33,30.69,31.5,54,62.72,27.5,26.58,25.99
2025/8/9,18:16:35,31.3,32.28,56.03,66.84,27.57,26.62,25.99
2025/8/9,18:16:37,31.98,33.17,57.38,69.73,27.69,26.73,25.99
2025/8/9,18:16:39,32.68,33.85,59.36,74.21,27.87,26.82,25.99
2025/8/9,18:16:41,33.25,34.92,61.38,78.84,28.03,26.87,25.99
2025/8/9,18:16:43,34.07,36.07,63.36,82,28.17,26.94,25.99
2025/8/9,18:16:45,34.95,36.88,64.64,86.81,28.37,27.03,25.99
2025/8/9,18:16:47,35.56,38.1,66.54,91.75,28.58,27.14,25.98
2025/8/9,18:16:49,36.5,39.36,68.37,95.09,28.76,27.28,25.98
2025/8/9,18:16:51,37.5,40.18,69.5,100.25,29.01,27.46,25.98
2025/8/9,18:16:53,38.21,41.46,71.12,105.45,29.28,27.67,25.98
2025/8/9,18:16:55,39.29,42.71,72.57,110.64,29.48,27.82,25.98
2025/8/9,18:16:57,40.45,43.96,73.51,114.03,29.78,28.05,25.98
2025/8/9,18:16:59,41.21,44.79,74.73,119.06,30.08,28.23,25.98
2025/8/9,18:17:01,42.42,46.06,75.87,123.93,30.3,28.35,25.98
2025/8/9,18:17:03,43.67,47.31,76.57,127.09,30.64,28.62,25.99
2025/8/9,18:17:05,44.54,48.14,77.56,131.63,30.98,28.82,25.99
2025/8/9,18:17:07,45.88,49.45,78.46,135.93,31.23,28.96,25.99
2025/8/9,18:17:09,47.21,50.74,79.03,138.77,31.6,29.19,25.99
2025/8/9,18:17:11,48.14,51.63,79.78,143,32,29.46,25.99
2025/8/9,18:17:13,49.57,53,80.51,147.16,32.42,29.71,25.99
2025/8/9,18:17:15,51.04,54.39,81.26,149.84,32.67,30.05,25.99
2025/8/9,18:17:17,52.53,55.35,81.76,153.71,33.14,30.35,26
2025/8/9,18:17:19,53.52,56.84,82.53,157.4,33.61,30.53,26
2025/8/9,18:17:21,55.02,58.34,83.29,159.83,33.93,30.76,26
2025/8/9,18:17:23,56.53,59.38,83.78,163.36,34.42,31.01,26
2025/8/9,18:17:25,57.53,60.96,84.51,166.81,34.95,31.17,26
2025/8/9,18:17:27,59.07,62.56,85.26,169.05,35.28,31.51,26
2025/8/9,18:17:29,60.6,63.65,85.73,172.34,35.82,31.83,26
2025/8/9,18:17:31,61.64,65.31,86.45,175.62,36.35,32.35,26
2025/8/9,18:17:33,63.2,67,87.17,178.83,36.75,32.64,26
2025/8/9,18:17:35,64.75,68.7,87.6,180.93,37.31,33.07,26
2025/8/9,18:17:37,65.81,69.85,88.21,183.96,37.89,33.43,26
