日期,时间,CH1,CH2,CH3,CH4,CH5,CH6,COLD
2025/8/15,13:26:17,27.6,27.78,27.76,26.32,26.19,24.37,24.06
2025/8/15,13:26:19,27.64,27.8,27.76,26.33,26.21,24.41,24.07
2025/8/15,13:26:21,27.83,28.01,28.01,26.35,26.19,24.41,24.07
2025/8/15,13:26:23,28.08,28.32,28.35,26.35,26.23,24.42,24.07
2025/8/15,13:26:25,28.28,29.07,28.94,26.39,26.23,24.42,24.07
2025/8/15,13:26:27,28.8,30.05,29.78,26.42,26.23,24.42,24.06
2025/8/15,13:26:29,29.57,30.8,30.6,26.5,26.3,24.48,24.06
2025/8/15,13:26:31,30.26,32.14,32.11,26.62,26.37,24.55,24.06
2025/8/15,13:26:33,31.6,33.88,33.95,26.75,26.44,24.64,24.06
2025/8/15,13:26:35,33.61,35.2,35.34,27.07,26.57,24.76,24.05
2025/8/15,13:26:37,35.38,37.43,37.67,27.53,26.73,24.85,24.05
2025/8/15,13:26:39,38.43,39.97,40.2,28.07,26.85,24.94,24.05
2025/8/15,13:26:41,41.78,42.82,42,28.46,27.05,25.03,24.04
2025/8/15,13:26:43,44.1,44.88,45.03,29.07,27.3,25.17,24.04
2025/8/15,13:26:45,47.64,48.07,48.46,29.64,27.51,25.21,24.04
2025/8/15,13:26:47,51.24,51.57,50.86,30.03,27.82,25.32,24.03
2025/8/15,13:26:49,53.67,54.07,54.6,30.57,28.19,25.41,24.03
2025/8/15,13:26:51,57.35,57.92,58.52,31.17,28.46,25.51,24.03
2025/8/15,13:26:53,61.03,61.89,61.24,31.57,28.89,25.64,24.03
2025/8/15,13:26:55,64.68,64.51,65.46,32.2,29.35,25.76,24.03
2025/8/15,13:26:57,67.12,68.45,69.76,32.88,29.83,25.85,24.03
2025/8/15,13:26:59,70.81,72.37,73.93,33.31,30.17,25.96,24.02
2025/8/15,13:27:01,74.56,75.01,76.59,34.07,30.71,26.14,24.02
2025/8/15,13:27:03,77.14,78.95,80.35,34.85,31.3,26.23,24.02
2025/8/15,13:27:05,81.07,82.9,83.85,35.38,31.69,26.44,24.02
2025/8/15,13:27:07,85.12,85.5,86.01,36.17,32.35,26.64,24.02
2025/8/15,13:27:09,87.9,89.48,89.07,37.17,33.03,26.78,24.02
2025/8/15,13:27:11,92.17,93.65,91.9,37.77,33.5,27.01,24.02
2025/8/15,13:27:13,96.57,96.45,93.68,38.75,34.21,27.28,24.02
2025/8/15,13:27:15,99.6,100.67,96.28,39.78,34.95,27.44,24.02
2025/8/15,13:27:17,104.18,104.71,98.84,40.54,35.43,27.71,24.02
2025/8/15,13:27:19,108.89,107.29,100.43,41.7,36.1,28,24.02
2025/8/15,13:27:21,112.01,110.82,102.78,42.89,36.86,28.19,24.02
2025/8/15,13:27:23,116.73,114.03,105.04,44.11,37.36,28.51,24.02
2025/8/15,13:27:25,121.54,117.01,106.56,44.96,38.13,28.87,24.02
2025/8/15,13:27:27,124.76,118.9,108.84,46.24,38.89,29.23,24.02
2025/8/15,13:27:29,129.55,121.65,111.2,47.6,39.42,29.46,24.02
2025/8/15,13:27:31,134.38,124.25,112.79,48.5,40.25,29.85,24.02
2025/8/15,13:27:33,137.62,125.98,115.15,49.84,41.07,30.3,24.03
